"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2017-11-14,"WE WANT TO TALK ABOUT OUR MARRIAGE","CaseyNeistat","People and Blogs",2017-11-13 12:13:01,748374,57527,2966,15954,FALSE,FALSE,FALSE,12,"8am to 3pm","Monday","1"
2017-11-14,"The Trump Presidency: Last Week Tonight with John Oliver (HBO)","LastWeekTonight","Entertainment",2017-11-13 02:30:00,2418783,97185,6146,12703,FALSE,FALSE,FALSE,2,"12am to 8am","Monday","1"
2017-11-14,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons","Rudy Mancuso","Comedy",2017-11-12 14:05:24,3191434,146033,5339,8181,FALSE,FALSE,FALSE,14,"8am to 3pm","Sunday","2"
2017-11-14,"Nickelback Lyrics: Real or Fake?","Good Mythical Morning","Entertainment",2017-11-13 06:00:04,343168,10172,666,2146,FALSE,FALSE,FALSE,6,"12am to 8am","Monday","1"
2017-11-14,"I Dare You: GOING BALD!?","nigahiga","Entertainment",2017-11-12 13:01:41,2095731,132235,1989,17518,FALSE,FALSE,FALSE,13,"8am to 3pm","Sunday","2"
2017-11-14,"2 Weeks with iPhone X","iJustine","Science and Technology",2017-11-13 14:07:23,119180,9763,511,1434,FALSE,FALSE,FALSE,14,"8am to 3pm","Monday","1"
2017-11-14,"Roy Moore & Jeff Sessions Cold Open - SNL","Saturday Night Live","Entertainment",2017-11-12 00:37:17,2103417,15993,2445,1970,FALSE,FALSE,FALSE,0,"12am to 8am","Sunday","2"
2017-11-14,"5 Ice Cream Gadgets put to the Test","CrazyRussianHacker","Science and Technology",2017-11-12 16:50:37,817732,23663,778,3432,FALSE,FALSE,FALSE,16,"3pm to 12am","Sunday","2"
2017-11-14,"The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX","20th Century Fox","Film and Animation",2017-11-13 09:00:23,826059,3543,119,340,FALSE,FALSE,FALSE,9,"8am to 3pm","Monday","1"
2017-11-14,"Why the rise of the robots wonâ€™t mean the end of work","Vox","News and Politics",2017-11-13 08:45:16,256426,12654,1363,2368,FALSE,FALSE,FALSE,8,"8am to 3pm","Monday","1"
2017-11-14,"Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights","NFL","Sports",2017-11-12 21:05:26,81377,655,25,177,FALSE,FALSE,FALSE,21,"3pm to 12am","Sunday","1"
2017-11-14,"(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead","amc","Entertainment",2017-11-12 22:00:00,104578,1576,303,1279,FALSE,FALSE,FALSE,22,"3pm to 12am","Sunday","1"
2017-11-14,"Marshmello - Blocks (Official Music Video)","marshmello","Music",2017-11-13 12:00:00,687582,114188,1333,8371,FALSE,FALSE,FALSE,12,"8am to 3pm","Monday","1"
2017-11-14,"Which Countries Are About To Collapse?","NowThis World","News and Politics",2017-11-12 09:00:00,544770,7848,1171,3981,FALSE,FALSE,FALSE,9,"8am to 3pm","Sunday","2"
2017-11-14,"SHOPPING FOR NEW FISH!!!","The king of DIY","Pets and Animals",2017-11-12 13:30:01,207532,7473,246,2120,FALSE,FALSE,FALSE,13,"8am to 3pm","Sunday","2"
2017-11-14,"The New SpotMini","BostonDynamics","Science and Technology",2017-11-13 15:09:58,75752,9419,52,1230,FALSE,FALSE,FALSE,15,"8am to 3pm","Monday","1"
